,periodo,comentario,quant_like_coment,feedback_super,nota,quant_comentarios,quant_fotos,supermercado,rua_supermercado,guia_local,cliente_id
158,um ano atrás,❤️,1.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,158
159,5 anos atrás,Comodidade e conforto a um preço acessível.,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,159
160,4 anos atrás,Rápido atendimento e bons preços,0.0,Agradecemos sua ajuda.,4,10,10,Deirton,"Fausto Pinheiro, 316",Sim,160
161,2 anos atrás,Ótimo lugar pra comprar,0.0,Agradecemos sua ajuda.,5,28,0,Deirton,"Fausto Pinheiro, 316",Sim,161
162,4 anos atrás,Mt bom local mt agradavel,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,162
163,2 anos atrás,Lugar bom e agradável,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Não,163
164,7 meses atrás,bom mercantil,0.0,Agradecemos sua ajuda.,5,5,0,Deirton,"Fausto Pinheiro, 316",Não,164
165,2 anos atrás,"um dos melhores, se encontra de tudo",1.0,Agradecemos sua ajuda.,5,31,7,Deirton,"Fausto Pinheiro, 316",Sim,165
166,4 anos atrás,"Supermercado muito bom,bons preços.",0.0,Agradecemos sua ajuda.,4,24,0,Deirton,"Fausto Pinheiro, 316",Sim,166
167,3 anos atrás,Muita variedade d produtos,1.0,Agradecemos sua ajuda.,5,12,0,Deirton,"Fausto Pinheiro, 316",Não,167
168,2 anos atrás,Tem tudo o que uma dona de casa precisa,0.0,Agradecemos sua ajuda.,5,8,4,Deirton,"Fausto Pinheiro, 316",Não,168
169,5 anos atrás,"É bom, tem muitos produtos",0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,169
170,2 anos atrás,Muito bom o mais completo,1.0,Agradecemos sua ajuda.,5,4,31,Deirton,"Fausto Pinheiro, 316",Sim,170
171,6 anos atrás,Acessível e tudo tem um pouco,0.0,Agradecemos sua ajuda.,4,6,5,Deirton,"Fausto Pinheiro, 316",Não,171
172,4 anos atrás,O melhor da cidade e região 👍,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,172
173,4 anos atrás,Muito bom o atendimento,0.0,Agradecemos sua ajuda.,5,27,0,Deirton,"Fausto Pinheiro, 316",Sim,173
174,4 anos atrás,É um lugar com variedades de produtos,0.0,Agradecemos sua ajuda.,4,4,0,Deirton,"Fausto Pinheiro, 316",Não,174
175,2 anos atrás,Boa variedades e preços,0.0,Agradecemos sua ajuda.,4,6,0,Deirton,"Fausto Pinheiro, 316",Não,175
176,2 anos atrás,Tem.tudo,0.0,Agradecemos sua ajuda.,5,60,160,Deirton,"Fausto Pinheiro, 316",Sim,176
177,4 anos atrás,"Ambiente bacana,super indico",0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,177
178,5 anos atrás,"Preço Bom,e um atendimento diferenciado",0.0,Agradecemos sua ajuda.,5,4,3,Deirton,"Fausto Pinheiro, 316",Não,178
179,2 anos atrás,Melhor supermercado da região  de itapaje,0.0,Agradecemos sua ajuda.,5,60,16,Deirton,"Fausto Pinheiro, 316",Sim,179
180,3 anos atrás,"Boa, pode melhorar!",0.0,Agradecemos sua ajuda.,3,0,0,Deirton,"Fausto Pinheiro, 316",Não,180
181,4 anos atrás,Supermercado organizado e com ótimo atendimento.,0.0,Agradecemos sua ajuda.,5,14,0,Deirton,"Fausto Pinheiro, 316",Não,181
182,2 anos atrás,O melhor da cidade.,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Não,182
183,3 anos atrás,NInguém atende ao telefone informado no site,0.0,Agradecemos sua ajuda.,4,11,109,Deirton,"Fausto Pinheiro, 316",Sim,183
184,2 anos atrás,Ótimo atendimento,0.0,Agradecemos sua ajuda.,4,2,12,Deirton,"Fausto Pinheiro, 316",Não,184
185,3 anos atrás,"Atendimento rápido, ambiente climatizado",0.0,Agradecemos sua ajuda.,5,31,0,Deirton,"Fausto Pinheiro, 316",Sim,185
186,3 anos atrás,Itapaje tem uma loja de bom conceito,0.0,Agradecemos sua ajuda.,5,141,62,Deirton,"Fausto Pinheiro, 316",Sim,186
187,5 anos atrás,Não conhecia e gostei muito ✌,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,187
188,4 anos atrás,Foi muito boa,0.0,Agradecemos sua ajuda.,5,5,2,Deirton,"Fausto Pinheiro, 316",Não,188
189,2 anos atrás,Excelente atendimento!,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,189
190,2 anos atrás,Bom atendimento,0.0,Agradecemos sua ajuda.,4,8,2,Deirton,"Fausto Pinheiro, 316",Não,190
191,2 anos atrás,A melhor da região,1.0,Agradecemos sua ajuda.,5,6,3,Deirton,"Fausto Pinheiro, 316",Não,191
192,5 anos atrás,Otimo lugar pra comprar,0.0,Agradecemos sua ajuda.,3,24,0,Deirton,"Fausto Pinheiro, 316",Sim,192
193,2 anos atrás,Várias variedades de produtos,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,193
194,um ano atrás,Gosto muito,0.0,Agradecemos sua ajuda.,5,17,0,Deirton,"Fausto Pinheiro, 316",Não,194
195,4 anos atrás,Adoro fazer as compras lá,0.0,Agradecemos sua ajuda.,5,62,35,Deirton,"Fausto Pinheiro, 316",Sim,195
196,5 anos atrás,Tem tudo o que se procura,0.0,Agradecemos sua ajuda.,5,11,0,Deirton,"Fausto Pinheiro, 316",Sim,196
197,5 anos atrás,Boa diversidade e preço.,0.0,Agradecemos sua ajuda.,4,20,9,Deirton,"Fausto Pinheiro, 316",Sim,197
198,3 anos atrás,Foi ótima,0.0,Agradecemos sua ajuda.,5,12,0,Deirton,"Fausto Pinheiro, 316",Sim,198
199,um ano atrás,Encontro tudo que quero,0.0,Agradecemos sua ajuda.,1,14,4,Deirton,"Fausto Pinheiro, 316",Sim,199
200,6 anos atrás,Grande variedade de produtos.,0.0,Agradecemos sua ajuda.,4,10,0,Deirton,"Fausto Pinheiro, 316",Sim,200
201,10 meses atrás,Ótima,0.0,Agradecemos sua ajuda.,1,3,0,Deirton,"Fausto Pinheiro, 316",Não,201
202,4 anos atrás,Otimo atendimento,0.0,Agradecemos sua ajuda.,5,17,11,Deirton,"Fausto Pinheiro, 316",Sim,202
203,3 anos atrás,Bom de comprar.,0.0,Agradecemos sua ajuda.,5,31,31,Deirton,"Fausto Pinheiro, 316",Sim,203
204,4 anos atrás,Melhor da cidade.👏👏,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,204
205,10 meses atrás,Bom,0.0,Agradecemos sua ajuda.,4,21,2,Deirton,"Fausto Pinheiro, 316",Não,205
206,4 anos atrás,Melhor supermercado da região!,0.0,Agradecemos sua ajuda.,5,31,25,Deirton,"Fausto Pinheiro, 316",Sim,206
207,4 anos atrás,Muito bom.,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Não,207
208,5 anos atrás,Funcionárias prestativas e simpáticas!,0.0,Agradecemos sua ajuda.,5,35,32,Deirton,"Fausto Pinheiro, 316",Sim,208
209,11 meses atrás,Excelente,0.0,Agradecemos sua ajuda.,5,43,2,Deirton,"Fausto Pinheiro, 316",Não,209
210,5 anos atrás,Melhor lugar pra fazer compras,0.0,Agradecemos sua ajuda.,5,61,0,Deirton,"Fausto Pinheiro, 316",Sim,210
211,6 anos atrás,Pq é bom!kk,1.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,211
212,2 anos atrás,Sempre bom,0.0,Agradecemos sua ajuda.,3,0,0,Deirton,"Fausto Pinheiro, 316",Não,212
213,um ano atrás,Mal atendimento,0.0,Agradecemos sua ajuda.,1,4,0,Deirton,"Fausto Pinheiro, 316",Não,213
214,4 anos atrás,O mais completo supermercado da região,0.0,Agradecemos sua ajuda.,5,11,13,Deirton,"Fausto Pinheiro, 316",Sim,214
215,5 anos atrás,O melhor de toda região,0.0,Agradecemos sua ajuda.,5,80,145,Deirton,"Fausto Pinheiro, 316",Sim,215
216,4 anos atrás,Atendimento ótimo,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,216
217,4 anos atrás,Tudo em um só lugar!,0.0,Agradecemos sua ajuda.,5,38,82,Deirton,"Fausto Pinheiro, 316",Sim,217
218,3 anos atrás,O melhor mercantil de Itapajé.,0.0,Agradecemos sua ajuda.,5,24,0,Deirton,"Fausto Pinheiro, 316",Não,218
219,3 anos atrás,Muitas variedades,0.0,Agradecemos sua ajuda.,4,8,0,Deirton,"Fausto Pinheiro, 316",Não,219
220,2 anos atrás,As coisas muito caro,0.0,Agradecemos sua ajuda.,2,0,2,Deirton,"Fausto Pinheiro, 316",Não,220
221,5 anos atrás,Bom atendimento aos clientes,0.0,Agradecemos sua ajuda.,4,145,31,Deirton,"Fausto Pinheiro, 316",Sim,221
222,4 anos atrás,Excelente supermercado ótimos preços e um ótimo atendimento.,0.0,Agradecemos sua ajuda.,5,21,2,Deirton,"Fausto Pinheiro, 316",Sim,222
223,5 anos atrás,Ótimo estabelecimento!,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,223
224,5 anos atrás,Tudo de bom ! ! ! 👏👏👏,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,224
225,um ano atrás,👏🏼👏🏼👏🏼,0.0,Agradecemos sua ajuda.,5,12,0,Deirton,"Fausto Pinheiro, 316",Sim,225
226,3 anos atrás,😉☺,0.0,Agradecemos sua ajuda.,5,12,10,Deirton,"Fausto Pinheiro, 316",Sim,226
227,um ano atrás,Excelente,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,227
228,4 anos atrás,O melhor da cidade,0.0,Agradecemos sua ajuda.,5,11,0,Deirton,"Fausto Pinheiro, 316",Não,228
229,4 anos atrás,Preços ótimos,0.0,Agradecemos sua ajuda.,5,52,37,Deirton,"Fausto Pinheiro, 316",Sim,229
230,5 anos atrás,O mais conpleto de Itapajé!,0.0,Agradecemos sua ajuda.,5,11,0,Deirton,"Fausto Pinheiro, 316",Não,230
231,4 anos atrás,Muito organizado,0.0,Agradecemos sua ajuda.,5,345,169,Deirton,"Fausto Pinheiro, 316",Sim,231
232,3 anos atrás,Melhor atendimento,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,232
233,4 anos atrás,muito boa,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,233
234,2 anos atrás,👍 sim,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,234
235,3 anos atrás,Ótimo atendimento!!!,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,235
236,2 anos atrás,❤,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,236
237,um ano atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,13,15,Deirton,"Fausto Pinheiro, 316",Sim,237
238,2 anos atrás,Exelente!,0.0,Agradecemos sua ajuda.,5,15,0,Deirton,"Fausto Pinheiro, 316",Não,238
239,um ano atrás,Estrutura excelente.,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,239
240,4 anos atrás,atende aos interesses do cliente,0.0,Agradecemos sua ajuda.,5,14,10,Deirton,"Fausto Pinheiro, 316",Sim,240
241,3 anos atrás,Nada pra reclamar,0.0,Agradecemos sua ajuda.,5,23,0,Deirton,"Fausto Pinheiro, 316",Sim,241
242,3 anos atrás,Ótimo  mercado,0.0,Agradecemos sua ajuda.,5,19,24,Deirton,"Fausto Pinheiro, 316",Sim,242
243,3 anos atrás,Ótimo lugar,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,243
244,um ano atrás,Qual whatsapp,0.0,Agradecemos sua ajuda.,1,3,0,Deirton,"Fausto Pinheiro, 316",Não,244
245,um ano atrás,Excelente 😊,0.0,Agradecemos sua ajuda.,5,27,0,Deirton,"Fausto Pinheiro, 316",Sim,245
246,um ano atrás,Bonzinho,0.0,Agradecemos sua ajuda.,3,6,0,Deirton,"Fausto Pinheiro, 316",Não,246
247,3 anos atrás,Bom pra fazer compras,0.0,Agradecemos sua ajuda.,4,12,0,Deirton,"Fausto Pinheiro, 316",Não,247
248,4 anos atrás,Bem atendido,0.0,Agradecemos sua ajuda.,4,66,18,Deirton,"Fausto Pinheiro, 316",Sim,248
249,3 anos atrás,Muito bom,0.0,Agradecemos sua ajuda.,5,17,0,Deirton,"Fausto Pinheiro, 316",Não,249
250,6 anos atrás,Otimo supermercado.,0.0,Agradecemos sua ajuda.,5,6,0,Deirton,"Fausto Pinheiro, 316",Não,250
251,5 anos atrás,Sempre satisfatória 😘,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,251
252,2 anos atrás,Muito imprensado,0.0,Agradecemos sua ajuda.,4,128,2,Deirton,"Fausto Pinheiro, 316",Sim,252
253,um ano atrás,Lugar Excepcionalmente,0.0,Agradecemos sua ajuda.,5,19,0,Deirton,"Fausto Pinheiro, 316",Sim,253
254,6 anos atrás,Muito sortido!,0.0,Agradecemos sua ajuda.,4,94,37,Deirton,"Fausto Pinheiro, 316",Sim,254
255,6 anos atrás,Bom atendimento.,0.0,Agradecemos sua ajuda.,4,11,12,Deirton,"Fausto Pinheiro, 316",Sim,255
256,2 anos atrás,Funcionários atenciosos.,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,256
257,3 anos atrás,Melhor de itapaje.,0.0,Agradecemos sua ajuda.,5,69,0,Deirton,"Fausto Pinheiro, 316",Sim,257
258,um ano atrás,Ótima,0.0,Agradecemos sua ajuda.,4,3,0,Deirton,"Fausto Pinheiro, 316",Sim,258
259,3 anos atrás,Foi ótimo,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,259
260,10 meses atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,84,28,Deirton,"Fausto Pinheiro, 316",Sim,260
261,3 anos atrás,Muito bom,0.0,Agradecemos sua ajuda.,3,39,5,Deirton,"Fausto Pinheiro, 316",Sim,261
262,6 anos atrás,Muita opção,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Sim,262
263,4 anos atrás,Melhor lugar.,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Sim,263
264,5 anos atrás,Preço baixo,0.0,Agradecemos sua ajuda.,5,7,4,Deirton,"Fausto Pinheiro, 316",Não,264
265,2 anos atrás,Foi ótimo.,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,265
266,um ano atrás,Bom,1.0,Agradecemos sua ajuda.,4,58,0,Deirton,"Fausto Pinheiro, 316",Não,266
267,um ano atrás,Otima,0.0,Agradecemos sua ajuda.,5,9,0,Deirton,"Fausto Pinheiro, 316",Sim,267
268,4 anos atrás,Bom atendimento,0.0,Agradecemos sua ajuda.,4,14,0,Deirton,"Fausto Pinheiro, 316",Não,268
269,3 anos atrás,O melhor,0.0,Agradecemos sua ajuda.,5,12,0,Deirton,"Fausto Pinheiro, 316",Não,269
270,5 anos atrás,Bom de mais,0.0,Agradecemos sua ajuda.,5,18,0,Deirton,"Fausto Pinheiro, 316",Sim,270
271,5 anos atrás,O melhor mercantil de Itapajé,0.0,Agradecemos sua ajuda.,5,9,18,Deirton,"Fausto Pinheiro, 316",Sim,271
272,2 anos atrás,Um ótimo supermercado,0.0,Agradecemos sua ajuda.,4,4,0,Deirton,"Fausto Pinheiro, 316",Não,272
273,3 anos atrás,Ecelemt preços,0.0,Agradecemos sua ajuda.,5,21,0,Deirton,"Fausto Pinheiro, 316",Sim,273
274,3 anos atrás,Muitas opções,0.0,Agradecemos sua ajuda.,4,2,0,Deirton,"Fausto Pinheiro, 316",Não,274
275,6 anos atrás,Espaço amplo,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,275
276,2 anos atrás,Agradável,0.0,Agradecemos sua ajuda.,3,3,0,Deirton,"Fausto Pinheiro, 316",Não,276
277,6 anos atrás,Ambiente Agradável,1.0,Agradecemos sua ajuda.,4,4,0,Deirton,"Fausto Pinheiro, 316",Não,277
278,3 anos atrás,Top da balada,1.0,Agradecemos sua ajuda.,5,34,79,Deirton,"Fausto Pinheiro, 316",Sim,278
279,4 anos atrás,Muito boa,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,279
280,4 anos atrás,Amei,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,280
281,4 anos atrás,Top dimais,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,281
282,4 anos atrás,otimo,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,282
283,3 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,9,16,Deirton,"Fausto Pinheiro, 316",Não,283
284,4 anos atrás,Encontrei o que  procurava,0.0,Agradecemos sua ajuda.,4,2,0,Deirton,"Fausto Pinheiro, 316",Não,284
285,3 anos atrás,Gostei,0.0,Agradecemos sua ajuda.,4,95,0,Deirton,"Fausto Pinheiro, 316",Sim,285
286,4 anos atrás,Obrigado,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,286
287,4 anos atrás,Amo,0.0,Agradecemos sua ajuda.,5,9,0,Deirton,"Fausto Pinheiro, 316",Sim,287
288,4 anos atrás,O Maior Supermercado da cidade,0.0,Agradecemos sua ajuda.,4,2,0,Deirton,"Fausto Pinheiro, 316",Não,288
289,3 anos atrás,Recomendo,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,289
290,4 anos atrás,Excelente,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Não,290
291,3 anos atrás,Maravilhoso,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,291
292,6 anos atrás,Bom atendimento.,0.0,Agradecemos sua ajuda.,5,98,158,Deirton,"Fausto Pinheiro, 316",Sim,292
293,3 anos atrás,Legal,0.0,Agradecemos sua ajuda.,5,10,4,Deirton,"Fausto Pinheiro, 316",Não,293
294,um ano atrás,Ótimo,0.0,Agradecemos sua ajuda.,1,7,0,Deirton,"Fausto Pinheiro, 316",Não,294
295,4 anos atrás,Boa,0.0,Agradecemos sua ajuda.,4,5,0,Deirton,"Fausto Pinheiro, 316",Não,180
296,4 anos atrás,Encontrei o que,0.0,Agradecemos sua ajuda.,5,11,0,Deirton,"Fausto Pinheiro, 316",Não,295
297,4 anos atrás,Muito bom,0.0,Agradecemos sua ajuda.,4,7,0,Deirton,"Fausto Pinheiro, 316",Não,296
298,2 anos atrás,Excelente 👍🏻,0.0,Agradecemos sua ajuda.,5,9,0,Deirton,"Fausto Pinheiro, 316",Não,297
299,3 anos atrás,Bom atendimento,0.0,Agradecemos sua ajuda.,5,9,0,Deirton,"Fausto Pinheiro, 316",Não,298
300,4 anos atrás,foi ótimo,0.0,Agradecemos sua ajuda.,5,57,262,Deirton,"Fausto Pinheiro, 316",Não,299
301,4 anos atrás,Excelente👏👏,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,300
302,2 anos atrás,Excelente,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,301
303,2 anos atrás,Bom,0.0,Agradecemos sua ajuda.,3,181,46,Deirton,"Fausto Pinheiro, 316",Sim,302
304,3 anos atrás,Bom,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,303
305,4 anos atrás,Muito boa,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,304
306,3 anos atrás,Excelente,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,305
307,4 anos atrás,Otimo,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Não,306
308,2 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,307
309,5 anos atrás,Legal,0.0,Agradecemos sua ajuda.,3,51,9,Deirton,"Fausto Pinheiro, 316",Sim,308
310,5 anos atrás,Bom,0.0,Agradecemos sua ajuda.,5,9,0,Deirton,"Fausto Pinheiro, 316",Não,309
311,2 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,6,0,Deirton,"Fausto Pinheiro, 316",Não,310
312,3 anos atrás,Bom,0.0,Agradecemos sua ajuda.,3,10,17,Deirton,"Fausto Pinheiro, 316",Sim,311
313,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,111,0,Deirton,"Fausto Pinheiro, 316",Sim,312
314,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,4,11,Deirton,"Fausto Pinheiro, 316",Não,313
315,3 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,314
316,5 anos atrás,Muito bom,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,315
317,4 anos atrás,muito boa,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,316
318,4 anos atrás,Excelente,0.0,Agradecemos sua ajuda.,5,8,100,Deirton,"Fausto Pinheiro, 316",Sim,317
319,6 anos atrás,Muito bom,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,318
320,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,319
321,4 anos atrás,muito bom,0.0,Agradecemos sua ajuda.,3,3,18,Deirton,"Fausto Pinheiro, 316",Não,320
322,5 anos atrás,muito bom,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,321
323,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,322
324,5 anos atrás,bom,0.0,Agradecemos sua ajuda.,3,69,13,Deirton,"Fausto Pinheiro, 316",Sim,323
325,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,324
326,3 anos atrás,bom,0.0,Agradecemos sua ajuda.,5,5,0,Deirton,"Fausto Pinheiro, 316",Não,325
327,3 anos atrás,Bom,0.0,Agradecemos sua ajuda.,4,4,12,Deirton,"Fausto Pinheiro, 316",Não,326
328,3 anos atrás,Ótima.,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,327
329,4 anos atrás,Bom,0.0,Agradecemos sua ajuda.,5,61,40,Deirton,"Fausto Pinheiro, 316",Sim,328
330,4 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,5,5,0,Deirton,"Fausto Pinheiro, 316",Não,329
331,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,330
332,2 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,331
333,3 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,22,0,Deirton,"Fausto Pinheiro, 316",Sim,332
334,3 anos atrás,Bom,0.0,Agradecemos sua ajuda.,4,25,7,Deirton,"Fausto Pinheiro, 316",Sim,333
335,4 anos atrás,boa,0.0,Agradecemos sua ajuda.,5,6,0,Deirton,"Fausto Pinheiro, 316",Não,334
336,3 anos atrás,Maravilha,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,335
337,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,26,14,Deirton,"Fausto Pinheiro, 316",Sim,336
338,4 anos atrás,Bom,0.0,Agradecemos sua ajuda.,4,28,30,Deirton,"Fausto Pinheiro, 316",Sim,337
339,3 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,2,41,38,Deirton,"Fausto Pinheiro, 316",Sim,338
340,4 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,339
341,5 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,340
342,3 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,341
343,4 anos atrás,Maravilhosa,0.0,Agradecemos sua ajuda.,5,13,0,Deirton,"Fausto Pinheiro, 316",Não,342
344,4 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,5,24,0,Deirton,"Fausto Pinheiro, 316",Sim,343
345,4 anos atrás,Boa,0.0,Agradecemos sua ajuda.,4,2,0,Deirton,"Fausto Pinheiro, 316",Não,344
346,6 anos atrás,Boa,1.0,Agradecemos sua ajuda.,3,14,28,Deirton,"Fausto Pinheiro, 316",Sim,345
347,2 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,5,20,0,Deirton,"Fausto Pinheiro, 316",Não,346
348,4 anos atrás,Bom,0.0,Agradecemos sua ajuda.,5,11,3,Deirton,"Fausto Pinheiro, 316",Sim,347
349,6 anos atrás,Ótimo,0.0,Agradecemos sua ajuda.,4,14,5,Deirton,"Fausto Pinheiro, 316",Sim,348
350,2 anos atrás,Ótima,0.0,Agradecemos sua ajuda.,4,18,0,Deirton,"Fausto Pinheiro, 316",Sim,349
351,4 anos atrás,Bom,0.0,Agradecemos sua ajuda.,2,40,0,Deirton,"Fausto Pinheiro, 316",Sim,350
352,um ano atrás,Um supermercado muito bom para o local,0.0,Agradecemos sua ajuda.,5,34,12,Deirton,"Fausto Pinheiro, 316",Não,351
353,2 meses atrás,Jurídico,0.0,Agradecemos sua ajuda.,5,11,4,Deirton,"Fausto Pinheiro, 316",Sim,352
354,4 anos atrás,Sem comentário,0.0,Sem feedback,5,0,268,Deirton,"Fausto Pinheiro, 316",Não,353
355,um ano atrás,Principal,0.0,Agradecemos sua ajuda.,5,10,0,Deirton,"Fausto Pinheiro, 316",Não,354
356,2 anos atrás,estrondo,0.0,Agradecemos sua ajuda.,4,4,3,Deirton,"Fausto Pinheiro, 316",Não,355
357,2 anos atrás,Se você comprar o,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,356
358,6 anos atrás,otimooo,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,357
359,um ano atrás,Mostrar,0.0,Agradecemos sua ajuda.,5,155,356,Deirton,"Fausto Pinheiro, 316",Sim,358
360,3 anos atrás,Principal,0.0,Agradecemos sua ajuda.,5,13,6,Deirton,"Fausto Pinheiro, 316",Não,359
361,3 anos atrás,Regular,0.0,Agradecemos sua ajuda.,2,35,2,Deirton,"Fausto Pinheiro, 316",Sim,360
362,5 anos atrás,Acabou,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,361
